Precinct Number,Precinct Name,Total Reg Voters,Democratic Reg Voters,Republican Reg Voters,Total Ballots Cast,Democratic Ballots Cast,Republican Ballots Cast,Total Voter Turnout (%),Democratic Voter Turnout (%),Republican Voter Turnout (%)
1281,WHITEHALL DIST 8,802,410,306,174,99,75,21.7,24.15,24.51
1282,WHITEHALL DIST 9,548,299,183,106,68,38,19.34,22.74,20.77
1283,WHITEHALL DIST 10,603,322,207,106,69,37,17.58,21.43,17.87
1284,WHITEHALL DIST 11,637,309,244,137,81,56,21.51,26.21,22.95
1285,WHITEHALL DIST 12,557,290,210,124,76,48,22.26,26.21,22.86
1286,WHITEHALL DIST 13,447,262,127,94,71,23,21.03,27.1,18.11
1287,WHITEHALL DIST 14,591,295,234,107,72,35,18.1,24.41,14.96
1288,WHITEHALL DIST 15,1008,539,343,191,127,64,18.95,23.56,18.66
1289,WHITEHALL DIST 16,617,301,247,132,76,56,21.39,25.25,22.67
1290,WHITE OAK DIST 1,753,407,253,126,90,36,16.73,22.11,14.23
1291,WHITE OAK DIST 2,814,418,290,134,83,51,16.46,19.86,17.59
1292,WHITE OAK DIST 3,887,482,310,146,100,46,16.46,20.75,14.84
1293,WHITE OAK DIST 4,741,411,254,159,113,46,21.46,27.49,18.11
1294,WHITE OAK DIST 5,808,452,280,163,111,52,20.17,24.56,18.57
1295,WHITE OAK DIST 6,738,378,283,129,85,44,17.48,22.49,15.55
1296,WHITE OAK DIST 7,1057,557,400,186,107,79,17.6,19.21,19.75
1297,WILKINS WARD 1 DIST 1,793,436,222,95,67,28,11.98,15.37,12.61
1298,WILKINS WARD 1 DIST 2,654,359,222,127,101,26,19.42,28.13,11.71
1299,WILKINS WARD 1 DIST 3,821,482,233,156,123,33,19,25.52,14.16
1300,WILKINS WARD 1 DIST 4,643,373,176,108,90,18,16.8,24.13,10.23
1301,WILKINS WARD 1 DIST 5,487,317,105,92,82,10,18.89,25.87,9.52
1302,WILKINS WARD 2 DIST 1,652,386,187,116,84,32,17.79,21.76,17.11
1303,WILKINS WARD 2 DIST 2,935,608,200,161,132,29,17.22,21.71,14.5
1304,WILKINSBURG WARD 1 DIST 1,1052,916,32,130,130,. 0,12.36,14.19,. .00
1305,WILKINSBURG WARD 1 DIST 2,801,678,26,128,128,. 0,15.98,18.88,. .00
1306,WILKINSBURG WARD 1 DIST 3,522,443,21,69,67,. 2,13.22,15.12,9.52
1307,WILKINSBURG WARD 1 DIST 4,620,490,50,157,145,12,25.32,29.59,24
1308,WILKINSBURG WARD 1 DIST 5,557,403,81,139,131,. 8,24.96,32.51,9.88
1309,WILKINSBURG WARD 1 DIST 6,1045,871,54,134,131,. 3,12.82,15.04,5.56
1310,WILKINSBURG WARD 2 DIST 1,869,654,78,126,120,. 6,14.5,18.35,7.69
1311,WILKINSBURG WARD 2 DIST 2,1008,785,123,236,210,26,23.41,26.75,21.14
1312,WILKINSBURG WARD 2 DIST 3,869,697,51,105,100,. 5,12.08,14.35,9.8
1313,WILKINSBURG WARD 2 DIST 4,569,451,21,51,51,. 0,8.96,11.31,. .00
1314,WILKINSBURG WARD 2 DIST 5,881,715,39,153,151,. 2,17.37,21.12,5.13
1315,WILKINSBURG WARD 3 DIST 1,765,532,99,223,198,25,29.15,37.22,25.25
1316,WILKINSBURG WARD 3 DIST 2,704,521,71,182,170,12,25.85,32.63,16.9
1317,WILKINSBURG WARD 3 DIST 3,876,723,40,133,131,. 2,15.18,18.12,5
1318,WILKINSBURG WARD 3 DIST 4,1096,825,90,203,189,14,18.52,22.91,15.56
1319,WILKINSBURG WARD 3 DIST 5,1126,908,49,153,151,. 2,13.59,16.63,4.08
1320,WILKINSBURG WARD 3 DIST 6,592,486,38,69,66,. 3,11.66,13.58,7.89
1321,WILMERDING DIST 1,526,381,74,47,41,. 6,8.94,10.76,8.11
1322,WILMERDING DIST 2,728,506,113,96,86,10,13.19,17,8.85
