Precinct Number,Precinct Name,Total Reg Voters,Democratic Reg Voters,Republican Reg Voters,Total Ballots Cast,Democratic Ballots Cast,Republican Ballots Cast,Total Voter Turnout (%),Democratic Voter Turnout (%),Republican Voter Turnout (%)
150,DORMONT DIST 2,546,298,166,70,52,18,12.82,17.45,10.84
151,DORMONT DIST 3,954,576,206,100,86,14,10.48,14.93,6.8
152,DORMONT DIST 4,676,407,179,88,65,23,13.02,15.97,12.85
153,DORMONT DIST 5,1096,636,256,134,114,20,12.23,17.92,7.81
154,DORMONT DIST 6,540,306,142,68,57,11,12.59,18.63,7.75
155,DORMONT DIST 7,526,332,108,68,60,. 8,12.93,18.07,7.41
156,DORMONT DIST 8,425,247,124,79,65,14,18.59,26.32,11.29
157,DORMONT DIST 9,540,312,130,63,56,. 7,11.67,17.95,5.38
158,DORMONT DIST 10,634,397,149,103,93,10,16.25,23.43,6.71
159,DRAVOSBURG DIST 1,557,329,162,109,83,26,19.57,25.23,16.05
160,DRAVOSBURG DIST 2,374,209,118,61,43,18,16.31,20.57,15.25
161,DRAVOSBURG DIST 3,253,180,50,66,54,12,26.09,30,24
162,DUQUESNE WARD 1 DIST 1,470,350,71,94,75,19,20,21.43,26.76
163,DUQUESNE WARD 1 DIST 2,556,429,47,75,68,. 7,13.49,15.85,14.89
164,DUQUESNE WARD 1 DIST 3,343,268,26,56,51,. 5,16.33,19.03,19.23
165,DUQUESNE WARD 1 DIST 4,236,188,23,15,15,. 0,6.36,7.98,. .00
166,DUQUESNE WARD 2 DIST 1,393,317,30,74,70,. 4,18.83,22.08,13.33
167,DUQUESNE WARD 2 DIST 2,433,357,36,72,68,. 4,16.63,19.05,11.11
168,DUQUESNE WARD 2 DIST 3,447,342,46,77,71,. 6,17.23,20.76,13.04
169,DUQUESNE WARD 3 DIST 1,260,221,13,38,38,. 0,14.62,17.19,. .00
170,DUQUESNE WARD 3 DIST 2,179,147,11,24,23,. 1,13.41,15.65,9.09
171,DUQUESNE WARD 3 DIST 3,584,463,60,116,109,. 7,19.86,23.54,11.67
172,EAST DEER WARD 1,314,186,85,45,39,. 6,14.33,20.97,7.06
173,EAST DEER WARD 2,576,282,183,68,51,17,11.81,18.09,9.29
174,E MCKEESPORT DIST 1,398,251,110,73,61,12,18.34,24.3,10.91
175,E MCKEESPORT DIST 2,533,340,108,67,55,12,12.57,16.18,11.11
176,E MCKEESPORT DIST 3,498,297,134,81,65,16,16.27,21.89,11.94
177,E PITTSBURGH WARD 1,365,284,33,86,80,. 6,23.56,28.17,18.18
178,E PITTSBURGH WARD 2,424,330,33,75,71,. 4,17.69,21.52,12.12
179,E PITTSBURGH WARD 3,518,399,50,69,66,. 3,13.32,16.54,6
180,EDGEWOOD DIST 1,1047,739,150,218,195,23,20.82,26.39,15.33
181,EDGEWOOD DIST 2,963,637,190,207,182,25,21.5,28.57,13.16
182,EDGEWOOD DIST 3,909,614,139,183,163,20,20.13,26.55,14.39
183,EDGEWORTH DIST 1,709,231,351,92,43,49,12.98,18.61,13.96
184,EDGEWORTH DIST 2,773,290,363,95,45,50,12.29,15.52,13.77
185,ELIZABETH BR,923,474,341,122,77,45,13.22,16.24,13.2
186,ELIZABETH TP WD 1 DIST 1,576,315,217,109,74,35,18.92,23.49,16.13
187,ELIZABETH TP WD 1 DIST 2,925,426,399,178,104,74,19.24,24.41,18.55
188,ELIZABETH TP WARD 2,1273,598,566,208,115,93,16.34,19.23,16.43
189,ELIZABETH TP WARD 3,1347,684,525,381,241,140,28.29,35.23,26.67
190,ELIZABETH TP WD 4 DIST 1,920,455,373,134,70,64,14.57,15.38,17.16
191,ELIZABETH TP WD 4 DIST 2,466,224,205,95,51,44,20.39,22.77,21.46
192,ELIZABETH TP WD 5 DIST 1,465,199,212,74,37,37,15.91,18.59,17.45
193,ELIZABETH TP WD 5 DIST 2,831,446,289,141,102,39,16.97,22.87,13.49
194,ELIZABETH TP WD 6 DIST 1,619,280,287,114,69,45,18.42,24.64,15.68
195,ELIZABETH TP WD 6 DIST 2,713,350,296,127,72,55,17.81,20.57,18.58
196,ELIZABETH TP WD 7,1276,695,456,243,151,92,19.04,21.73,20.18
197,EMSWORTH DIST 1,799,412,271,121,85,36,15.14,20.63,13.28
198,EMSWORTH DIST 2,971,506,297,98,74,24,10.09,14.62,8.08
199,ETNA WARD 1,841,507,192,115,98,17,13.67,19.33,8.85
200,ETNA WARD 2,716,434,153,72,55,17,10.06,12.67,11.11
201,ETNA WARD 3,725,425,188,99,76,23,13.66,17.88,12.23
202,FAWN DIST 1,556,240,243,92,49,43,16.55,20.42,17.7
203,FAWN DIST 2,920,415,391,203,112,91,22.07,26.99,23.27
204,FINDLAY DIST 1,1375,577,609,138,68,70,10.04,11.79,11.49
205,FINDLAY DIST 2,1765,802,728,219,135,84,12.41,16.83,11.54
206,FINDLAY DIST 3,1211,557,492,182,108,74,15.03,19.39,15.04
207,FOREST HILLS DIST 1,637,379,178,160,134,26,25.12,35.36,14.61
208,FOREST HILLS DIST 2,646,421,147,157,135,22,24.3,32.07,14.97
209,FOREST HILLS DIST 3,648,378,194,134,100,34,20.68,26.46,17.53
210,FOREST HILLS DIST 4,724,492,151,137,117,20,18.92,23.78,13.25
211,FOREST HILLS DIST 5,716,431,189,172,138,34,24.02,32.02,17.99
212,FOREST HILLS DIST 6,578,365,144,150,121,29,25.95,33.15,20.14
213,FOREST HILLS DIST 7,771,522,136,120,110,10,15.56,21.07,7.35
214,FOREST HILLS DIST 8,728,438,211,168,139,29,23.08,31.74,13.74
215,FORWARD DIST 1,374,177,152,66,32,34,17.65,18.08,22.37
216,FORWARD DIST 2,873,479,295,132,85,47,15.12,17.75,15.93
217,FORWARD DIST 3,387,217,132,62,44,18,16.02,20.28,13.64
218,FORWARD DIST 4,457,245,152,73,44,29,15.97,17.96,19.08
219,FOX CHAPEL DIST 1,844,374,367,191,109,82,22.63,29.14,22.34
220,FOX CHAPEL DIST 2,1029,428,439,217,124,93,21.09,28.97,21.18
221,FOX CHAPEL DIST 3,762,303,350,154,79,75,20.21,26.07,21.43
222,FOX CHAPEL DIST 4,1236,532,500,240,134,106,19.42,25.19,21.2
223,FOX CHAPEL DIST 5,914,327,458,174,80,94,19.04,24.46,20.52
224,FRANKLIN PK WARD 1 DIST 1,1198,409,578,123,58,65,10.27,14.18,11.25
225,FRANKLIN PK WARD 1 DIST 2,1372,452,626,114,63,51,8.31,13.94,8.15
226,FRANKLIN PK WARD 1 DIST 3,1359,501,629,174,103,71,12.8,20.56,11.29
227,FRANKLIN PK WARD 2 DIST 1,1116,406,473,152,84,68,13.62,20.69,14.38
228,FRANKLIN PK WARD 2 DIST 2,1306,465,631,194,120,74,14.85,25.81,11.73
229,FRANKLIN PK WARD 2 DIST 3,1398,500,644,242,126,116,17.31,25.2,18.01
230,FRANKLIN PK WARD 3 DIST 1,1283,441,618,193,86,107,15.04,19.5,17.31
231,FRANKLIN PK WARD 3 DIST 2,799,291,368,130,70,60,16.27,24.05,16.3
232,FRANKLIN PK WARD 3 DIST 3,1247,454,617,230,132,98,18.44,29.07,15.88
233,FRAZER,766,355,325,91,46,45,11.88,12.96,13.85
234,GLASSPORT DIST 1,565,358,159,124,92,32,21.95,25.7,20.13
235,GLASSPORT DIST 2,400,257,92,50,43,. 7,12.5,16.73,7.61
236,GLASSPORT DIST 3,549,388,99,117,100,17,21.31,25.77,17.17
237,GLASSPORT DIST 4,247,145,62,49,40,. 9,19.84,27.59,14.52
238,GLASSPORT DIST 5,483,307,131,136,110,26,28.16,35.83,19.85
239,GLASSPORT DIST 6,449,300,106,106,89,17,23.61,29.67,16.04
240,GLENFIELD,153,62,64,26,14,12,16.99,22.58,18.75
241,GREEN TREE DIST 1,780,417,264,128,95,33,16.41,22.78,12.5
242,GREEN TREE DIST 2,1071,533,394,172,110,62,16.06,20.64,15.74
243,GREEN TREE DIST 3,984,476,364,126,90,36,12.8,18.91,9.89
244,GREEN TREE DIST 4,873,471,280,96,74,22,11,15.71,7.86
245,HAMPTON DIST 1,1214,471,563,198,91,107,16.31,19.32,19.01
246,HAMPTON DIST 2,1236,487,571,146,69,77,11.81,14.17,13.49
247,HAMPTON DIST 3,1338,519,633,173,85,88,12.93,16.38,13.9
248,HAMPTON DIST 4,632,308,243,86,59,27,13.61,19.16,11.11
249,HAMPTON DIST 5,702,317,280,97,52,45,13.82,16.4,16.07
250,HAMPTON DIST 6,657,271,328,112,54,58,17.05,19.93,17.68
251,HAMPTON DIST 7,1371,467,706,229,108,121,16.7,23.13,17.14
252,HAMPTON DIST 8,954,400,416,180,89,91,18.87,22.25,21.88
253,HAMPTON DIST 9,1295,554,585,200,102,98,15.44,18.41,16.75
254,HAMPTON DIST 10,1531,611,681,175,94,81,11.43,15.38,11.89
255,HAMPTON DIST 11,1703,725,771,246,131,115,14.45,18.07,14.92
256,HAMPTON DIST 12,866,360,369,147,80,67,16.97,22.22,18.16
257,HAMPTON DIST 13,774,345,317,125,70,55,16.15,20.29,17.35
258,HARMAR DIST 1,1345,635,567,197,110,87,14.65,17.32,15.34
259,HARMAR DIST 2,744,441,219,109,76,33,14.65,17.23,15.07
260,HARMAR DIST 3,349,208,101,67,46,21,19.2,22.12,20.79
261,HARRISON WARD 1 DIST 1,291,151,110,93,62,31,31.96,41.06,28.18
