Precinct Number,Precinct Name,Total Reg Voters,Democratic Reg Voters,Republican Reg Voters,Nonpartisan Reg Voters,Total Ballots Cast,Democratic Ballots Cast,Republican Ballots Cast,Nonpartisan Ballots Cast,Total Voter Turnout (%),Democratic Voter Turnout (%),Republican Voter Turnout (%),Nonpartisan Voter Turnout (%)
71,BRACKENRIDGE WARD 2,784,453,223,,98,68,30,,12.5,15.01,13.45,
72,BRACKENRIDGE WARD 3,664,346,223,,73,51,22,,10.99,14.74,9.87,
73,BRADDOCK WARD 1,556,472,28,,92,89,3,,16.55,18.86,10.71,
74,BRADDOCK WARD 2,585,498,31,,101,95,6,,17.26,19.08,19.35,
75,BRADDOCK WARD 3,467,389,27,,70,69,1,,14.99,17.74,3.7,
76,BRADDOCK HL DIST 1,812,609,126,,132,102,30,,16.26,16.75,23.81,
77,BRADDOCK HL DIST 2,533,399,79,,158,143,15,,29.64,35.84,18.99,
78,BRADFORD WOODS,1023,345,521,,196,88,108,,19.16,25.51,20.73,
79,BRENTWOOD DIST 1,548,289,197,,94,58,36,,17.15,20.07,18.27,
80,BRENTWOOD DIST 2,749,408,225,,97,73,24,,12.95,17.89,10.67,
81,BRENTWOOD DIST 3,578,348,154,,76,52,24,,13.15,14.94,15.58,
82,BRENTWOOD DIST 4,784,470,196,,96,71,25,,12.24,15.11,12.76,
83,BRENTWOOD DIST 5,719,423,172,,69,59,10,,9.6,13.95,5.81,
84,BRENTWOOD DIST 6,705,393,190,,65,56,9,,9.22,14.25,4.74,
85,BRENTWOOD DIST 7,759,411,223,,85,60,25,,11.2,14.6,11.21,
86,BRENTWOOD DIST 8,721,397,237,,105,70,35,,14.56,17.63,14.77,
87,BRENTWOOD DIST 9,584,332,178,,83,61,22,,14.21,18.37,12.36,
88,BRENTWOOD DIST 10,557,298,172,,73,42,31,,13.11,14.09,18.02,
89,BRIDGEVILLE DIST 1,794,444,262,,122,87,35,,15.37,19.59,13.36,
90,BRIDGEVILLE DIST 2,868,487,250,,111,72,39,,12.79,14.78,15.6,
91,BRIDGEVILLE DIST 3,857,426,318,,121,73,48,,14.12,17.14,15.09,
92,BRIDGEVILLE DIST 4,968,504,340,,132,79,53,,13.64,15.67,15.59,
93,CARNEGIE WARD 1 DIST 1,522,284,145,,81,58,23,,15.52,20.42,15.86,
94,CARNEGIE WARD 1 DIST 2,1185,620,362,,213,153,60,,17.97,24.68,16.57,
95,CARNEGIE WARD 1 DIST 3,809,498,219,,199,154,45,,24.6,30.92,20.55,
96,CARNEGIE WARD 1 DIST 4,380,249,69,,82,68,14,,21.58,27.31,20.29,
97,CARNEGIE WARD 2 DIST 1,661,383,167,,134,109,25,,20.27,28.46,14.97,
98,CARNEGIE WARD 2 DIST 2,518,315,124,,102,83,19,,19.69,26.35,15.32,
99,CARNEGIE WARD 2 DIST 3,486,286,143,,136,97,39,,27.98,33.92,27.27,
100,CARNEGIE WARD 2 DIST 4,955,577,221,,186,126,60,,19.48,21.84,27.15,
101,CASL SHANNON DIST 1,1040,568,292,,87,62,25,,8.37,10.92,8.56,
102,CASL SHANNON DIST 2,859,471,250,,146,100,46,,17,21.23,18.4,
103,CASL SHANNON DIST 3,798,440,233,,89,69,20,,11.15,15.68,8.58,
104,CASL SHANNON DIST 4,646,361,184,,109,88,21,,16.87,24.38,11.41,
105,CASL SHANNON DIST 5,624,384,154,,108,83,25,,17.31,21.61,16.23,
106,CASL SHANNON DIST 6,645,381,191,,113,84,29,,17.52,22.05,15.18,
107,CASL SHANNON DIST 7,771,449,224,,122,92,30,,15.82,20.49,13.39,
108,CASL SHANNON DIST 8,566,318,173,,103,76,27,,18.2,23.9,15.61,
109,CHALFANT DIST 1,586,377,140,,115,94,21,,19.62,24.93,15,
110,CHESWICK DIST 1,616,334,206,,183,115,68,,29.71,34.43,33.01,
111,CHESWICK DIST 2,632,354,215,,203,123,80,,32.12,34.75,37.21,
112,CHURCHILL DIST 1,671,419,192,,149,106,43,,22.21,25.3,22.4,
113,CHURCHILL DIST 2,685,405,185,,166,123,43,,24.23,30.37,23.24,
114,CHURCHILL DIST 3,643,344,224,,158,102,56,,24.57,29.65,25,
115,CHURCHILL DIST 4,678,346,255,,136,86,50,,20.06,24.86,19.61,
116,CLAIRTON WARD 1 DIST 1,395,290,54,,95,85,10,,24.05,29.31,18.52,
117,CLAIRTON WARD 1 DIST 2,413,298,65,,135,111,24,,32.69,37.25,36.92,
118,CLAIRTON WARD 1 DIST 3,342,231,70,,111,93,18,,32.46,40.26,25.71,
119,CLAIRTON WARD 2 DIST 1,132,123,3,,35,33,2,,26.52,26.83,66.67,
120,CLAIRTON WARD 2 DIST 2,350,312,15,,104,104,0,,29.71,33.33,0,
121,CLAIRTON WARD 2 DIST 3,474,393,34,,141,129,12,,29.75,32.82,35.29,
122,CLAIRTON WARD 3 DIST 1,448,330,76,,138,119,19,,30.8,36.06,25,
123,CLAIRTON WARD 3 DIST 2,394,318,53,,105,91,14,,26.65,28.62,26.42,
124,CLAIRTON WARD 3 DIST 3,421,315,49,,70,63,7,,16.63,20,14.29,
125,CLAIRTON WARD 4 DIST 1,399,353,21,,119,111,8,,29.82,31.44,38.1,
126,CLAIRTON WARD 4 DIST 2,392,334,27,,115,109,6,,29.34,32.63,22.22,
127,CLAIRTON WARD 4 DIST 3,437,287,100,,143,114,29,,32.72,39.72,29,
128,COLLIER DIST 1,1133,488,507,,141,82,59,,12.44,16.8,11.64,
129,COLLIER DIST 2,1238,601,488,,166,118,48,,13.41,19.63,9.84,
130,COLLIER DIST 3,1154,644,384,,182,131,51,,15.77,20.34,13.28,
131,COLLIER DIST 4,771,387,292,,110,77,33,,14.27,19.9,11.3,
132,COLLIER DIST 5,952,253,559,,92,29,63,,9.66,11.46,11.27,
133,COLLIER DIST 6,1094,569,365,,97,69,28,,8.87,12.13,7.67,
134,CORAOPOLIS WARD 1 DIST 1,464,317,90,,85,72,13,,18.32,22.71,14.44,
135,CORAOPOLIS WARD 1 DIST 2,501,311,125,,113,90,23,,22.55,28.94,18.4,
136,CORAOPOLIS WARD 2,811,554,158,,190,162,28,,23.43,29.24,17.72,
137,CORAOPOLIS WARD 3 DIST 1,607,363,168,,151,116,35,,24.88,31.96,20.83,
138,CORAOPOLIS WARD 3 DIST 2,620,332,209,,139,95,44,,22.42,28.61,21.05,
139,CORAOPOLIS WARD 4 DIST 1,444,256,127,,101,79,22,,22.75,30.86,17.32,
140,CORAOPOLIS WARD 4 DIST 2,517,322,127,,106,80,26,,20.5,24.84,20.47,
141,CRAFTON WARD 1 DIST 1,888,516,247,,206,142,64,,23.2,27.52,25.91,
142,CRAFTON WARD 1 DIST 2,614,354,155,,114,83,31,,18.57,23.45,20,
143,CRAFTON WARD 2 DIST 1,610,354,180,,162,112,50,,26.56,31.64,27.78,
144,CRAFTON WARD 2 DIST 2,793,501,166,,183,147,36,,23.08,29.34,21.69,
145,CRAFTON WARD 3 DIST 1,960,510,304,,258,174,84,,26.88,34.12,27.63,
146,CRAFTON WARD 3 DIST 2,582,315,173,,143,106,37,,24.57,33.65,21.39,
147,CRESCENT WARD 1,1121,530,431,,115,76,39,,10.26,14.34,9.05,
148,CRESCENT WARD 2,673,319,258,,71,45,26,,10.55,14.11,10.08,
149,DORMONT DIST 1,766,439,215,,118,89,29,,15.4,20.27,13.49,
150,DORMONT DIST 2,538,285,170,,127,103,24,,23.61,36.14,14.12,
151,DORMONT DIST 3,948,545,222,,165,136,29,,17.41,24.95,13.06,
152,DORMONT DIST 4,649,390,173,,147,118,29,,22.65,30.26,16.76,
153,DORMONT DIST 5,1078,629,263,,249,199,50,,23.1,31.64,19.01,
154,DORMONT DIST 6,530,295,149,,103,77,26,,19.43,26.1,17.45,
155,DORMONT DIST 7,521,331,108,,134,119,15,,25.72,35.95,13.89,
156,DORMONT DIST 8,415,229,123,,105,82,23,,25.3,35.81,18.7,
157,DORMONT DIST 9,533,303,127,,97,82,15,,18.2,27.06,11.81,
158,DORMONT DIST 10,612,374,152,,170,151,19,,27.78,40.37,12.5,
159,DRAVOSBURG DIST 1,562,342,157,,159,114,45,,28.29,33.33,28.66,
160,DRAVOSBURG DIST 2,379,209,127,,103,77,26,,27.18,36.84,20.47,
161,DRAVOSBURG DIST 3,270,188,57,,82,63,19,,30.37,33.51,33.33,
162,DUQUESNE WARD 1 DIST 1,475,363,68,,119,101,18,,25.05,27.82,26.47,
163,DUQUESNE WARD 1 DIST 2,527,415,43,,89,80,9,,16.89,19.28,20.93,
164,DUQUESNE WARD 1 DIST 3,326,256,23,,65,59,6,,19.94,23.05,26.09,
165,DUQUESNE WARD 1 DIST 4,224,179,21,,28,27,1,,12.5,15.08,4.76,
166,DUQUESNE WARD 2 DIST 1,407,337,27,,103,95,8,,25.31,28.19,29.63,
167,DUQUESNE WARD 2 DIST 2,424,355,35,,115,109,6,,27.12,30.7,17.14,
168,DUQUESNE WARD 2 DIST 3,473,378,50,,130,117,13,,27.48,30.95,26,
169,DUQUESNE WARD 3 DIST 1,247,220,12,,52,52,0,,21.05,23.64,0,
170,DUQUESNE WARD 3 DIST 2,179,142,13,,45,43,2,,25.14,30.28,15.38,
171,DUQUESNE WARD 3 DIST 3,567,459,58,,181,162,19,,31.92,35.29,32.76,
172,EAST DEER WARD 1,317,190,88,,50,48,2,,15.77,25.26,2.27,
173,EAST DEER WARD 2,597,320,172,,62,49,13,,10.39,15.31,7.56,
174,E MCKEESPORT DIST 1,411,261,113,,80,65,15,,19.46,24.9,13.27,
175,E MCKEESPORT DIST 2,521,349,99,,93,76,17,,17.85,21.78,17.17,
176,E MCKEESPORT DIST 3,495,298,131,,86,73,13,,17.37,24.5,9.92,
177,E PITTSBURGH WARD 1,359,289,33,,81,74,7,,22.56,25.61,21.21,
178,E PITTSBURGH WARD 2,398,317,34,,104,95,9,,26.13,29.97,26.47,
179,E PITTSBURGH WARD 3,508,398,52,,103,90,13,,20.28,22.61,25,
180,EDGEWOOD DIST 1,1020,694,175,,225,192,33,,22.06,27.67,18.86,
181,EDGEWOOD DIST 2,948,604,208,,251,199,52,,26.48,32.95,25,
182,EDGEWOOD DIST 3,872,580,147,,237,210,27,,27.18,36.21,18.37,
183,EDGEWORTH DIST 1,702,217,358,,144,53,91,,20.51,24.42,25.42,
184,EDGEWORTH DIST 2,742,268,373,,127,59,68,,17.12,22.01,18.23,
185,ELIZABETH BR,921,474,338,,117,79,38,,12.7,16.67,11.24,
186,ELIZABETH TP WD 1 DIST 1,569,318,215,,128,84,44,,22.5,26.42,20.47,
187,ELIZABETH TP WD 1 DIST 2,909,441,384,,166,100,66,,18.26,22.68,17.19,
188,ELIZABETH TP WARD 2,1273,615,549,,318,168,150,,24.98,27.32,27.32,
189,ELIZABETH TP WARD 3,1316,689,487,,250,167,83,,19,24.24,17.04,
190,ELIZABETH TP WD 4 DIST 1,910,458,363,,165,89,76,,18.13,19.43,20.94,
191,ELIZABETH TP WD 4 DIST 2,460,232,194,,129,72,57,,28.04,31.03,29.38,
192,ELIZABETH TP WD 5 DIST 1,442,203,186,,70,42,28,,15.84,20.69,15.05,
193,ELIZABETH TP WD 5 DIST 2,835,446,300,,135,96,39,,16.17,21.52,13,
194,ELIZABETH TP WD 6 DIST 1,605,295,263,,123,69,54,,20.33,23.39,20.53,
195,ELIZABETH TP WD 6 DIST 2,734,372,295,,194,100,94,,26.43,26.88,31.86,
196,ELIZABETH TP WD 7,1243,724,407,,203,141,62,,16.33,19.48,15.23,
197,EMSWORTH DIST 1,783,408,261,,150,102,48,,19.16,25,18.39,
198,EMSWORTH DIST 2,964,514,285,,140,100,40,,14.52,19.46,14.04,
199,ETNA WARD 1,852,514,199,,108,87,21,,12.68,16.93,10.55,
200,ETNA WARD 2,712,423,162,,75,58,17,,10.53,13.71,10.49,
201,ETNA WARD 3,708,413,194,,126,87,39,,17.8,21.07,20.1,
202,FAWN DIST 1,544,268,212,,86,51,35,,15.81,19.03,16.51,
203,FAWN DIST 2,902,421,385,,172,88,84,,19.07,20.9,21.82,
204,FINDLAY DIST 1,1091,502,452,,166,84,82,,15.22,16.73,18.14,
205,FINDLAY DIST 2,1710,780,709,,219,122,97,,12.81,15.64,13.68,
206,FINDLAY DIST 3,1213,574,472,,196,113,83,,16.16,19.69,17.58,
207,FOREST HILLS DIST 1,627,369,181,,204,163,41,,32.54,44.17,22.65,
208,FOREST HILLS DIST 2,623,395,162,,185,144,41,,29.7,36.46,25.31,
209,FOREST HILLS DIST 3,631,347,202,,159,108,51,,25.2,31.12,25.25,
210,FOREST HILLS DIST 4,717,476,157,,154,135,19,,21.48,28.36,12.1,
211,FOREST HILLS DIST 5,691,406,199,,182,143,39,,26.34,35.22,19.6,
212,FOREST HILLS DIST 6,559,347,152,,170,132,38,,30.41,38.04,25,
213,FOREST HILLS DIST 7,771,504,155,,97,81,16,,12.58,16.07,10.32,
214,FOREST HILLS DIST 8,715,424,208,,172,130,42,,24.06,30.66,20.19,
215,FORWARD DIST 1,368,181,143,,53,30,23,,14.4,16.57,16.08,
216,FORWARD DIST 2,885,504,287,,168,110,58,,18.98,21.83,20.21,
217,FORWARD DIST 3,391,231,121,,67,46,21,,17.14,19.91,17.36,
218,FORWARD DIST 4,456,256,145,,63,41,22,,13.82,16.02,15.17,
219,FOX CHAPEL DIST 1,795,331,358,,115,68,47,,14.47,20.54,13.13,
220,FOX CHAPEL DIST 2,1000,386,452,,114,78,36,,11.4,20.21,7.96,
221,FOX CHAPEL DIST 3,736,277,357,,100,54,46,,13.59,19.49,12.89,
222,FOX CHAPEL DIST 4,1195,476,521,,128,78,50,,10.71,16.39,9.6,
223,FOX CHAPEL DIST 5,894,303,457,,101,49,52,,11.3,16.17,11.38,
224,FRANKLIN PK WARD 1 DIST 1,1173,400,582,,129,54,75,,11,13.5,12.89,
225,FRANKLIN PK WARD 1 DIST 2,1204,387,565,,101,58,43,,8.39,14.99,7.61,
226,FRANKLIN PK WARD 1 DIST 3,1323,464,644,,155,72,83,,11.72,15.52,12.89,
227,FRANKLIN PK WARD 2 DIST 1,1031,356,458,,96,42,54,,9.31,11.8,11.79,
228,FRANKLIN PK WARD 2 DIST 2,1244,414,636,,174,81,93,,13.99,19.57,14.62,
229,FRANKLIN PK WARD 2 DIST 3,1327,472,622,,258,115,143,,19.44,24.36,22.99,
230,FRANKLIN PK WARD 3 DIST 1,1282,423,634,,156,64,92,,12.17,15.13,14.51,
231,FRANKLIN PK WARD 3 DIST 2,783,288,371,,113,64,49,,14.43,22.22,13.21,
232,FRANKLIN PK WARD 3 DIST 3,1220,413,634,,167,87,80,,13.69,21.07,12.62,
233,FRAZER,755,360,322,,78,48,30,,10.33,13.33,9.32,
234,GLASSPORT DIST 1,569,366,152,,158,120,38,,27.77,32.79,25,
235,GLASSPORT DIST 2,393,252,83,,83,63,20,,21.12,25,24.1,
236,GLASSPORT DIST 3,544,398,88,,138,111,27,,25.37,27.89,30.68,
237,GLASSPORT DIST 4,237,148,57,,68,54,14,,28.69,36.49,24.56,
238,GLASSPORT DIST 5,496,314,133,,146,117,29,,29.44,37.26,21.8,
239,GLASSPORT DIST 6,450,321,99,,135,111,24,,30,34.58,24.24,
240,GLENFIELD,148,65,62,,35,21,14,,23.65,32.31,22.58,
241,GREEN TREE DIST 1,790,421,277,,195,139,56,,24.68,33.02,20.22,
242,GREEN TREE DIST 2,1077,526,411,,183,118,65,,16.99,22.43,15.82,
243,GREEN TREE DIST 3,958,470,362,,140,101,39,,14.61,21.49,10.77,
244,GREEN TREE DIST 4,842,455,260,,135,97,38,,16.03,21.32,14.62,
245,HAMPTON DIST 1,1199,466,570,,136,79,57,,11.34,16.95,10,
246,HAMPTON DIST 2,1196,468,568,,121,75,46,,10.12,16.03,8.1,
247,HAMPTON DIST 3,1321,494,639,,124,64,60,,9.39,12.96,9.39,
248,HAMPTON DIST 4,620,302,237,,67,42,25,,10.81,13.91,10.55,
249,HAMPTON DIST 5,704,320,279,,73,49,24,,10.37,15.31,8.6,
250,HAMPTON DIST 6,649,247,341,,61,33,28,,9.4,13.36,8.21,
251,HAMPTON DIST 7,1301,427,686,,114,64,50,,8.76,14.99,7.29,
252,HAMPTON DIST 8,931,376,435,,128,76,52,,13.75,20.21,11.95,
253,HAMPTON DIST 9,1257,542,556,,125,73,52,,9.94,13.47,9.35,
254,HAMPTON DIST 10,1475,613,655,,126,73,53,,8.54,11.91,8.09,
255,HAMPTON DIST 11,1673,694,786,,180,97,83,,10.76,13.98,10.56,
256,HAMPTON DIST 12,847,343,376,,110,65,45,,12.99,18.95,11.97,
257,HAMPTON DIST 13,771,343,318,,110,69,41,,14.27,20.12,12.89,
258,HARMAR DIST 1,1284,610,540,,233,137,96,,18.15,22.46,17.78,
259,HARMAR DIST 2,742,477,187,,153,121,32,,20.62,25.37,17.11,
260,HARMAR DIST 3,361,229,98,,93,69,24,,25.76,30.13,24.49,
261,HARRISON WARD 1 DIST 1,290,155,103,,55,37,18,,18.97,23.87,17.48,
262,HARRISON WARD 1 DIST 2,580,262,260,,91,56,35,,15.69,21.37,13.46,
263,HARRISON WARD 1 DIST 3,649,307,243,,81,62,19,,12.48,20.2,7.82,
264,HARRISON WARD 2 DIST 1,320,192,87,,55,40,15,,17.19,20.83,17.24,
265,HARRISON WARD 2 DIST 2,606,362,130,,110,81,29,,18.15,22.38,22.31,
266,HARRISON WARD 3 DIST 1,1022,551,375,,168,128,40,,16.44,23.23,10.67,
267,HARRISON WARD 3 DIST 2,617,336,205,,100,76,24,,16.21,22.62,11.71,
268,HARRISON WARD 4 DIST 1,675,352,229,,130,88,42,,19.26,25,18.34,
269,HARRISON WARD 4 DIST 2,575,314,189,,100,66,34,,17.39,21.02,17.99,
270,HARRISON WARD 5 DIST 1,516,327,108,,55,43,12,,10.66,13.15,11.11,
271,HARRISON WARD 5 DIST 2,813,423,283,,68,47,21,,8.36,11.11,7.42,
272,HAYSVILLE,59,20,30,,8,4,4,,13.56,20,13.33,
273,HEIDELBERG,850,506,235,,239,164,75,,28.12,32.41,31.91,
274,HOMESTEAD WARD 1 DIST 1,601,471,56,,78,74,4,,12.98,15.71,7.14,
275,HOMESTEAD WARD 1 DIST 2,376,328,13,,66,64,2,,17.55,19.51,15.38,
276,HOMESTEAD WARD 2 DIST 1,451,369,29,,76,72,4,,16.85,19.51,13.79,
277,HOMESTEAD WARD 2 DIST 2,328,294,14,,90,87,3,,27.44,29.59,21.43,
278,HOMESTEAD WARD 3 DIST 1,537,441,39,,79,79,0,,14.71,17.91,0,
279,HOMESTEAD WARD 3 DIST 2,323,282,15,,39,39,0,,12.07,13.83,0,
280,INDIANA DIST 1,961,403,430,,87,54,33,,9.05,13.4,7.67,
281,INDIANA DIST 2,890,365,382,,88,41,47,,9.89,11.23,12.3,
282,INDIANA DIST 3,1219,575,447,,84,55,29,,6.89,9.57,6.49,
283,INDIANA DIST 4,1105,482,456,,160,108,52,,14.48,22.41,11.4,
284,INDIANA DIST 5,922,422,376,,107,74,33,,11.61,17.54,8.78,
285,INGRAM DIST 1,803,474,206,,191,131,60,,23.79,27.64,29.13,
286,INGRAM DIST 2,632,392,163,,154,107,47,,24.37,27.3,28.83,
287,INGRAM DIST 3,903,553,246,,294,193,101,,32.56,34.9,41.06,
288,JEFFERSON HL DIST 1,1544,690,674,,336,176,160,,21.76,25.51,23.74,
289,JEFFERSON HL DIST 2,846,469,289,,153,89,64,,18.09,18.98,22.15,
290,JEFFERSON HL DIST 3,637,311,256,,97,59,38,,15.23,18.97,14.84,
291,JEFFERSON HL DIST 4,686,364,232,,89,57,32,,12.97,15.66,13.79,
292,JEFFERSON HL DIST 5,2026,842,920,,396,166,230,,19.55,19.71,25,
293,JEFFERSON HL DIST 6,961,469,399,,202,109,93,,21.02,23.24,23.31,
294,JEFFERSON HL DIST 7,367,169,157,,68,43,25,,18.53,25.44,15.92,
295,JEFFERSON HL DIST 8,1091,514,459,,260,146,114,,23.83,28.4,24.84,
296,KENNEDY DIST 1,1527,1024,377,,282,239,43,,18.47,23.34,11.41,
297,KENNEDY DIST 2,857,566,221,,159,144,15,,18.55,25.44,6.79,
298,KENNEDY DIST 3,1009,689,236,,206,151,55,,20.42,21.92,23.31,
299,KENNEDY DIST 4,433,340,64,,140,131,9,,32.33,38.53,14.06,
300,KENNEDY DIST 5,1333,849,345,,248,212,36,,18.6,24.97,10.43,
301,KENNEDY DIST 6,830,553,200,,117,105,12,,14.1,18.99,6,
302,KENNEDY DIST 7,529,358,136,,133,115,18,,25.14,32.12,13.24,
303,KILBUCK,581,244,269,,115,62,53,,19.79,25.41,19.7,
304,LEET DIST 1,392,202,133,,112,75,37,,28.57,37.13,27.82,
305,LEET DIST 2,749,276,379,,189,85,104,,25.23,30.8,27.44,
306,LEETSDALE,875,500,268,,254,169,85,,29.03,33.8,31.72,
307,LIBERTY DIST 1,923,536,281,,277,187,90,,30.01,34.89,32.03,
308,LIBERTY DIST 2,785,473,244,,242,181,61,,30.83,38.27,25,
309,LINCOLN,696,381,251,,121,91,30,,17.39,23.88,11.95,
