Precinct Number,Precinct Name,Total Reg Voters,Democratic Reg Voters,Republican Reg Voters,Nonpartisan Reg Voters,Total Ballots Cast,Democratic Ballots Cast,Republican Ballots Cast,Nonpartisan Ballots Cast,Total Voter Turnout (%),Democratic Voter Turnout (%),Republican Voter Turnout (%),Nonpartisan Voter Turnout (%)
1,ALEPPO,1368,520,690,,277,123,154,,20.25,23.65,22.32,
2,ASPINWALL DIST 1,868,450,274,,261,197,64,,30.07,43.78,23.36,
3,ASPINWALL DIST 2,591,279,207,,177,121,56,,29.95,43.37,27.05,
4,ASPINWALL DIST 3,856,445,278,,278,209,69,,32.48,46.97,24.82,
5,AVALON WARD 1,1103,660,258,,166,123,43,,15.05,18.64,16.67,
6,AVALON WARD 2 DIST 1,698,415,169,,131,93,38,,18.77,22.41,22.49,
7,AVALON WARD 2 DIST 2,468,255,145,,72,47,25,,15.38,18.43,17.24,
8,AVALON WARD 3 DIST 1,331,187,90,,52,33,19,,15.71,17.65,21.11,
9,AVALON WARD 3 DIST 2,487,280,139,,65,48,17,,13.35,17.14,12.23,
10,AVALON WARD 3 DIST 3,483,279,127,,79,58,21,,16.36,20.79,16.54,
11,BALDWIN BR DIST 1,576,370,148,,97,76,21,,16.84,20.54,14.19,
12,BALDWIN BR DIST 2,1009,625,255,,166,139,27,,16.45,22.24,10.59,
13,BALDWIN BR DIST 3,797,501,207,,111,81,30,,13.93,16.17,14.49,
14,BALDWIN BR DIST 4,761,469,208,,128,101,27,,16.82,21.54,12.98,
15,BALDWIN BR DIST 5,782,480,209,,105,87,18,,13.43,18.13,8.61,
16,BALDWIN BR DIST 6,747,423,235,,116,86,30,,15.53,20.33,12.77,
17,BALDWIN BR DIST 7,798,450,249,,119,88,31,,14.91,19.56,12.45,
18,BALDWIN BR DIST 8,702,403,205,,100,83,17,,14.25,20.6,8.29,
19,BALDWIN BR DIST 9,747,436,226,,115,91,24,,15.39,20.87,10.62,
20,BALDWIN BR DIST 10,1023,643,201,,65,51,14,,6.35,7.93,6.97,
21,BALDWIN BR DIST 11,1099,688,245,,81,64,17,,7.37,9.3,6.94,
22,BALDWIN BR DIST 12,615,421,128,,97,90,7,,15.77,21.38,5.47,
23,BALDWIN BR DIST 13,673,418,183,,109,74,35,,16.2,17.7,19.13,
24,BALDWIN BR DIST 14,585,346,175,,91,70,21,,15.56,20.23,12,
25,BALDWIN BR DIST 15,781,519,188,,137,120,17,,17.54,23.12,9.04,
26,BALDWIN BR DIST 16,871,552,210,,145,122,23,,16.65,22.1,10.95,
27,BALDWIN BR DIST 17,683,420,194,,104,89,15,,15.23,21.19,7.73,
28,BALDWIN BR DIST 18,924,565,250,,172,126,46,,18.61,22.3,18.4,
29,BALDWIN TP DIST 1,766,413,257,,135,97,38,,17.62,23.49,14.79,
30,BALDWIN TP DIST 2,703,414,201,,88,70,18,,12.52,16.91,8.96,
31,BELL ACRES,1136,421,524,,263,113,150,,23.15,26.84,28.63,
32,BELLEVUE WARD 1 DIST 1,1027,609,247,,203,156,47,,19.77,25.62,19.03,
33,BELLEVUE WARD 1 DIST 2,958,588,225,,229,178,51,,23.9,30.27,22.67,
34,BELLEVUE WARD 2 DIST 1,1131,684,244,,182,133,49,,16.09,19.44,20.08,
35,BELLEVUE WARD 2 DIST 2,980,557,264,,190,140,50,,19.39,25.13,18.94,
36,BELLEVUE WARD 3 DIST 1,1020,554,277,,237,153,84,,23.24,27.62,30.32,
37,BELLEVUE WARD 3 DIST 2,914,490,269,,208,164,44,,22.76,33.47,16.36,
38,BEN AVON DIST 1,473,257,151,,188,134,54,,39.75,52.14,35.76,
39,BEN AVON DIST 2,953,472,332,,270,184,86,,28.33,38.98,25.9,
40,BEN AVON HT,319,116,164,,71,33,38,,22.26,28.45,23.17,
41,BETHEL PARK WARD 1 DIST 1,866,390,353,,131,75,56,,15.13,19.23,15.86,
42,BETHEL PARK WARD 1 DIST 2,811,447,257,,149,104,45,,18.37,23.27,17.51,
43,BETHEL PARK WARD 1 DIST 3,806,405,303,,170,101,69,,21.09,24.94,22.77,
44,BETHEL PARK WARD 2 DIST 1,735,298,374,,174,79,95,,23.67,26.51,25.4,
45,BETHEL PARK WARD 2 DIST 2,903,358,432,,143,63,80,,15.84,17.6,18.52,
46,BETHEL PARK WARD 2 DIST 3,1115,516,446,,173,100,73,,15.52,19.38,16.37,
47,BETHEL PARK WARD 3 DIST 1,790,330,367,,134,80,54,,16.96,24.24,14.71,
48,BETHEL PARK WARD 3 DIST 2,921,371,440,,159,79,80,,17.26,21.29,18.18,
49,BETHEL PARK WARD 3 DIST 3,1070,426,504,,198,85,113,,18.5,19.95,22.42,
50,BETHEL PARK WARD 4 DIST 1,1304,602,545,,186,115,71,,14.26,19.1,13.03,
51,BETHEL PARK WARD 4 DIST 2,794,403,310,,123,79,44,,15.49,19.6,14.19,
52,BETHEL PARK WARD 4 DIST 3,870,374,379,,118,62,56,,13.56,16.58,14.78,
53,BETHEL PARK WARD 5 DIST 1,602,292,218,,110,59,51,,18.27,20.21,23.39,
54,BETHEL PARK WARD 5 DIST 2,651,330,214,,96,68,28,,14.75,20.61,13.08,
55,BETHEL PARK WARD 5 DIST 3,1468,659,607,,208,125,83,,14.17,18.97,13.67,
56,BETHEL PARK WARD 6 DIST 1,1283,553,573,,257,143,114,,20.03,25.86,19.9,
57,BETHEL PARK WARD 6 DIST 2,964,453,374,,184,97,87,,19.09,21.41,23.26,
58,BETHEL PARK WARD 6 DIST 3,767,302,369,,139,54,85,,18.12,17.88,23.04,
59,BETHEL PARK WARD 7 DIST 1,1145,493,500,,212,115,97,,18.52,23.33,19.4,
60,BETHEL PARK WARD 7 DIST 2,963,425,441,,132,62,70,,13.71,14.59,15.87,
61,BETHEL PARK WARD 7 DIST 3,749,337,300,,103,51,52,,13.75,15.13,17.33,
62,BETHEL PARK WARD 8 DIST 1,508,247,210,,85,44,41,,16.73,17.81,19.52,
63,BETHEL PARK WARD 8 DIST 2,547,303,188,,78,50,28,,14.26,16.5,14.89,
64,BETHEL PARK WARD 8 DIST 3,1217,556,507,,232,133,99,,19.06,23.92,19.53,
65,BETHEL PARK WARD 8 DIST 4,459,200,189,,61,37,24,,13.29,18.5,12.7,
66,BETHEL PARK WARD 9 DIST 1,561,223,278,,107,47,60,,19.07,21.08,21.58,
67,BETHEL PARK WARD 9 DIST 2,699,297,320,,97,46,51,,13.88,15.49,15.94,
68,BETHEL PARK WARD 9 DIST 3,1367,513,674,,206,94,112,,15.07,18.32,16.62,
69,BLAWNOX,1042,629,253,,199,161,38,,19.1,25.6,15.02,
70,BRACKENRIDGE WARD 1,488,295,118,,78,59,19,,15.98,20,16.1,
