Precinct Number,Precinct Name,Total Reg Voters,Democratic Reg Voters,Republican Reg Voters,Nonpartisan Reg Voters,Total Ballots Cast,Democratic Ballots Cast,Republican Ballots Cast,Nonpartisan Ballots Cast,Total Voter Turnout (%),Democratic Voter Turnout (%),Republican Voter Turnout (%),Nonpartisan Voter Turnout (%)
1157,SOUTH PARK DIST 5,753,419,254,,148,103,45,,19.65,24.58,17.72,
1158,SOUTH PARK DIST 6,848,421,322,,157,84,73,,18.51,19.95,22.67,
1159,SOUTH PARK DIST 7,1115,617,373,,217,144,73,,19.46,23.34,19.57,
1160,SOUTH PARK DIST 8,512,272,175,,129,78,51,,25.20,28.68,29.14,
1161,SOUTH PARK DIST 9,806,384,324,,143,91,52,,17.74,23.70,16.05,
1162,SOUTH PARK DIST 10,850,433,312,,144,80,64,,16.94,18.48,20.51,
1163,SOUTH PARK DIST 11,600,305,211,,76,44,32,,12.67,14.43,15.17,
1164,SOUTH PARK DIST 12,563,291,205,,95,64,31,,16.87,21.99,15.12,
1165,SOUTH PARK DIST 13,1052,463,450,,154,76,78,,14.64,16.41,17.33,
1166,S VERSAILLES,214,99,91,,47,26,21,,21.96,26.26,23.08,
1167,SPRINGDAL BR DIST 1,704,391,210,,134,94,40,,19.03,24.04,19.05,
1168,SPRINGDAL BR DIST 2,584,312,208,,122,61,61,,20.89,19.55,29.33,
1169,SPRINGDAL BR DIST 3,533,308,159,,92,57,35,,17.26,18.51,22.01,
1170,SPRINGDAL BR DIST 4,434,252,134,,78,56,22,,17.97,22.22,16.42,
1171,SPRINGDALE TWP,1164,657,398,,253,167,86,,21.74,25.42,21.61,
1172,STOWE WARD 1,415,310,50,,74,64,10,,17.83,20.65,20.00,
1173,STOWE WARD 2 DIST 1,180,125,30,,24,16,8,,13.33,12.80,26.67,
1174,STOWE WARD 2 DIST 2,699,525,92,,107,90,17,,15.31,17.14,18.48,
1175,STOWE WARD 3,384,282,62,,50,40,10,,13.02,14.18,16.13,
1176,STOWE WARD 4 DIST 1,377,284,57,,63,50,13,,16.71,17.61,22.81,
1177,STOWE WARD 4 DIST 2,362,260,66,,91,78,13,,25.14,30.00,19.70,
1178,STOWE WARD 5,492,357,86,,51,42,9,,10.37,11.76,10.47,
1179,STOWE WARD 6,457,339,62,,56,45,11,,12.25,13.27,17.74,
1180,STOWE WARD 7,291,236,34,,25,22,3,,8.59,9.32,8.82,
1181,STOWE WARD 8,441,328,53,,37,30,7,,8.39,9.15,13.21,
1182,STOWE WARD 9,320,250,32,,34,31,3,,10.63,12.40,9.38,
1183,SWISSVALE DIST 1,922,727,90,,178,168,10,,19.31,23.11,11.11,
1184,SWISSVALE DIST 2,752,573,74,,164,153,11,,21.81,26.70,14.86,
1185,SWISSVALE DIST 3,683,511,82,,154,143,11,,22.55,27.98,13.41,
1186,SWISSVALE DIST 4,625,427,99,,139,124,15,,22.24,29.04,15.15,
1187,SWISSVALE DIST 5,741,533,104,,184,159,25,,24.83,29.83,24.04,
1188,SWISSVALE DIST 6,392,305,43,,69,62,7,,17.60,20.33,16.28,
1189,SWISSVALE DIST 7,666,491,85,,228,206,22,,34.23,41.96,25.88,
1190,SWISSVALE DIST 8,735,495,134,,182,163,19,,24.76,32.93,14.18,
1191,SWISSVALE DIST 9,656,524,58,,223,210,13,,33.99,40.08,22.41,
1192,SWISSVALE DIST 10,242,206,13,,49,48,1,,20.25,23.30,7.69,
1193,SWISSVALE DIST 11,673,485,101,,270,256,14,,40.12,52.78,13.86,
1194,TARENTUM WARD 1 DIST 1,676,388,177,,88,56,32,,13.02,14.43,18.08,
1195,TARENTUM WARD 1 DIST 2,468,253,137,,76,54,22,,16.24,21.34,16.06,
1196,TARENTUM WARD 2,538,323,133,,78,48,30,,14.50,14.86,22.56,
1197,TARENTUM WARD 3 DIST 1,304,154,87,,30,18,12,,9.87,11.69,13.79,
1198,TARENTUM WARD 3 DIST 2,592,323,179,,71,51,20,,11.99,15.79,11.17,
1199,THORNBURG,432,199,179,,107,69,38,,24.77,34.67,21.23,
1200,PENNSBURY VILL,565,291,182,,116,84,32,,20.53,28.87,17.58,
1201,TRAFFORD,53,27,19,,4,2,2,,7.55,7.41,10.53,
1202,TURTLE CREEK WD 1 DIST 1,830,530,200,,195,148,47,,23.49,27.92,23.50,
1203,TURTLE CREEK WD 1 DIST 2,412,302,60,,82,66,16,,19.90,21.85,26.67,
1204,TURTLE CREEK WD 2 DIST 1,673,502,98,,111,97,14,,16.49,19.32,14.29,
1205,TURTLE CREEK WD 2 DIST 2,320,221,60,,59,38,21,,18.44,17.19,35.00,
1206,TURTLE CREEK WD 3 DIST 1,611,426,97,,84,70,14,,13.75,16.43,14.43,
1207,TURTLE CREEK WD 3 DIST 2,483,332,107,,118,98,20,,24.43,29.52,18.69,
1208,UP ST CLAIR WARD 1 DIST 1,698,260,343,,136,45,91,,19.48,17.31,26.53,
1209,UP ST CLAIR WARD 1 DIST 2,831,303,398,,173,68,105,,20.82,22.44,26.38,
1210,UP ST CLAIR WARD 1 DIST 3,1005,363,506,,166,64,102,,16.52,17.63,20.16,
1211,UP ST CLAIR WARD 1 DIST 4,823,308,390,,140,61,79,,17.01,19.81,20.26,
1212,UP ST CLAIR WARD 2 DIST 1,963,420,395,,161,78,83,,16.72,18.57,21.01,
1213,UP ST CLAIR WARD 2 DIST 2,697,208,390,,151,55,96,,21.66,26.44,24.62,
1214,UP ST CLAIR WARD 2 DIST 3,1034,470,422,,163,78,85,,15.76,16.60,20.14,
1215,UP ST CLAIR WARD 2 DIST 4,547,195,271,,123,51,72,,22.49,26.15,26.57,
