Precinct Number,Precinct Name,Total Reg Voters,Democratic Reg Voters,Republican Reg Voters,Nonpartisan Reg Voters,Total Ballots Cast,Democratic Ballots Cast,Republican Ballots Cast,Nonpartisan Ballots Cast,Total Voter Turnout (%),Democratic Voter Turnout (%),Republican Voter Turnout (%),Nonpartisan Voter Turnout (%)
1216,UP ST CLAIR WARD 3 DIST 1,1035,417,475,,210,94,116,,20.29,22.54,24.42,
1217,UP ST CLAIR WARD 3 DIST 2,872,363,410,,186,70,116,,21.33,19.28,28.29,
1218,UP ST CLAIR WARD 3 DIST 3,1180,390,634,,247,86,161,,20.93,22.05,25.39,
1219,UP ST CLAIR WARD 4 DIST 1,974,343,477,,169,75,94,,17.35,21.87,19.71,
1220,UP ST CLAIR WARD 4 DIST 2,774,265,396,,167,70,97,,21.58,26.42,24.49,
1221,UP ST CLAIR WARD 4 DIST 3,611,224,304,,120,56,64,,19.64,25.00,21.05,
1222,UP ST CLAIR WARD 4 DIST 4,1041,280,637,,244,75,169,,23.44,26.79,26.53,
1223,UP ST CLAIR WARD 5 DIST 1,1321,480,644,,256,104,152,,19.38,21.67,23.60,
1224,UP ST CLAIR WARD 5 DIST 2,820,300,422,,163,57,106,,19.88,19.00,25.12,
1225,UP ST CLAIR WARD 5 DIST 3,862,325,388,,135,60,75,,15.66,18.46,19.33,
1226,VERONA DIST 1,515,348,89,,85,74,11,,16.50,21.26,12.36,
1227,VERONA DIST 2,580,370,134,,113,85,28,,19.48,22.97,20.90,
1228,VERONA DIST 3,608,401,130,,118,95,23,,19.41,23.69,17.69,
1229,VERSAILLES DIST 1,543,351,133,,92,67,25,,16.94,19.09,18.80,
1230,VERSAILLES DIST 2,474,315,99,,79,64,15,,16.67,20.32,15.15,
1231,WALL,324,202,71,,53,46,7,,16.36,22.77,9.86,
1232,WEST DEER DIST 1,1361,580,602,179,298,141,152,5,21.90,24.31,25.25,2.79
1233,WEST DEER DIST 2,583,268,240,75,129,65,63,1,22.13,24.25,26.25,1.33
1234,WEST DEER DIST 3,820,415,291,114,138,70,64,4,16.83,16.87,21.99,3.51
1235,WEST DEER DIST 4,769,331,357,81,178,73,103,2,23.15,22.05,28.85,2.47
1236,WEST DEER DIST 5,840,433,317,90,196,103,89,4,23.33,23.79,28.08,4.44
1237,WEST DEER DIST 6,759,356,280,123,172,101,65,6,22.66,28.37,23.21,4.88
1238,WEST DEER DIST 7,1685,672,812,201,356,162,190,4,21.13,24.11,23.40,1.99
1239,WEST DEER DIST 8,1439,622,632,185,394,195,194,5,27.38,31.35,30.70,2.70
1240,W ELIZABETH,264,155,76,,48,33,15,,18.18,21.29,19.74,
1241,W HOMESTEAD DIST 1,491,357,64,,74,61,13,,15.07,17.09,20.31,
1242,W HOMESTEAD DIST 2,451,311,103,,117,94,23,,25.94,30.23,22.33,
1243,W HOMESTEAD DIST 3,529,341,144,,138,99,39,,26.09,29.03,27.08,
1244,WEST MIFFLIN DIST 1,718,476,147,,112,90,22,,15.60,18.91,14.97,
1245,WEST MIFFLIN DIST 2,476,385,47,,72,66,6,,15.13,17.14,12.77,
1246,WEST MIFFLIN DIST 3,479,324,97,,77,64,13,,16.08,19.75,13.40,
1247,WEST MIFFLIN DIST 4,436,361,12,,32,32,0,,7.34,8.86,0.00,
1248,WEST MIFFLIN DIST 5,845,608,172,,213,160,53,,25.21,26.32,30.81,
1249,WEST MIFFLIN DIST 6,319,204,74,,62,50,12,,19.44,24.51,16.22,
1250,WEST MIFFLIN DIST 7,756,518,159,,155,125,30,,20.50,24.13,18.87,
1251,WEST MIFFLIN DIST 8,563,442,76,,91,83,8,,16.16,18.78,10.53,
1252,WEST MIFFLIN DIST 9,782,546,166,,160,125,35,,20.46,22.89,21.08,
1253,WEST MIFFLIN DIST 10,532,325,128,,92,70,22,,17.29,21.54,17.19,
1254,WEST MIFFLIN DIST 11,778,454,224,,120,85,35,,15.42,18.72,15.63,
1255,WEST MIFFLIN DIST 12,989,646,235,,154,117,37,,15.57,18.11,15.74,
1256,WEST MIFFLIN DIST 13,570,383,125,,112,89,23,,19.65,23.24,18.40,
1257,WEST MIFFLIN DIST 14,868,561,235,,224,164,60,,25.81,29.23,25.53,
1258,WEST MIFFLIN DIST 15,585,409,124,,110,89,21,,18.80,21.76,16.94,
1259,WEST MIFFLIN DIST 16,1195,739,329,,211,154,57,,17.66,20.84,17.33,
1260,WEST MIFFLIN DIST 17,556,336,160,,118,78,40,,21.22,23.21,25.00,
1261,WEST MIFFLIN DIST 18,774,512,182,,151,118,33,,19.51,23.05,18.13,
1262,WEST MIFFLIN DIST 19,648,391,197,,133,86,47,,20.52,21.99,23.86,
1263,WEST MIFFLIN DIST 20,468,333,96,,131,106,25,,27.99,31.83,26.04,
1264,WEST MIFFLIN DIST 21,649,391,175,,102,74,28,,15.72,18.93,16.00,
1265,WEST VIEW DIST 1,690,385,216,,155,99,56,,22.46,25.71,25.93,
1266,WEST VIEW DIST 2,764,415,225,,141,103,38,,18.46,24.82,16.89,
1267,WEST VIEW DIST 3,575,320,187,,138,96,42,,24.00,30.00,22.46,
1268,WEST VIEW DIST 4,586,305,194,,117,82,35,,19.97,26.89,18.04,
1269,WEST VIEW DIST 5,760,456,193,,164,118,46,,21.58,25.88,23.83,
1270,WEST VIEW DIST 6,694,398,196,,161,102,59,,23.20,25.63,30.10,
1271,WEST VIEW DIST 7,646,363,206,,160,104,56,,24.77,28.65,27.18,
1272,WHITAKER DIST 1,429,308,82,,88,72,16,,20.51,23.38,19.51,
1273,WHITAKER DIST 2,384,290,55,,60,51,9,,15.63,17.59,16.36,
1274,WHITEHALL DIST 1,521,282,185,,105,64,41,,20.15,22.70,22.16,
1275,WHITEHALL DIST 2,583,304,204,,91,60,31,,15.61,19.74,15.20,
1276,WHITEHALL DIST 3,658,331,256,,131,72,59,,19.91,21.75,23.05,
1277,WHITEHALL DIST 4,667,341,247,,144,90,54,,21.59,26.39,21.86,
1278,WHITEHALL DIST 5,687,369,235,,120,63,57,,17.47,17.07,24.26,
1279,WHITEHALL DIST 6,1024,650,155,,61,44,17,,5.96,6.77,10.97,
1280,WHITEHALL DIST 7,432,264,147,,159,100,59,,36.81,37.88,40.14,
1281,WHITEHALL DIST 8,802,407,310,,183,101,82,,22.82,24.82,26.45,
1282,WHITEHALL DIST 9,545,298,188,,101,63,38,,18.53,21.14,20.21,
1283,WHITEHALL DIST 10,613,334,211,,95,62,33,,15.50,18.56,15.64,
1284,WHITEHALL DIST 11,630,311,247,,137,72,65,,21.75,23.15,26.32,
1285,WHITEHALL DIST 12,554,281,215,,101,52,49,,18.23,18.51,22.79,
1286,WHITEHALL DIST 13,444,257,130,,101,72,29,,22.75,28.02,22.31,
1287,WHITEHALL DIST 14,588,288,237,,93,62,31,,15.82,21.53,13.08,
1288,WHITEHALL DIST 15,995,524,351,,253,131,122,,25.43,25.00,34.76,
1289,WHITEHALL DIST 16,607,295,246,,125,65,60,,20.59,22.03,24.39,
1290,WHITE OAK DIST 1,740,405,242,,130,92,38,,17.57,22.72,15.70,
1291,WHITE OAK DIST 2,795,424,279,,146,95,51,,18.36,22.41,18.28,
1292,WHITE OAK DIST 3,863,470,296,,162,100,62,,18.77,21.28,20.95,
1293,WHITE OAK DIST 4,746,420,257,,171,115,56,,22.92,27.38,21.79,
1294,WHITE OAK DIST 5,798,453,272,,186,112,74,,23.31,24.72,27.21,
1295,WHITE OAK DIST 6,721,372,279,,135,72,63,,18.72,19.35,22.58,
1296,WHITE OAK DIST 7,1058,563,395,,218,115,103,,20.60,20.43,26.08,
1297,WILKINS WARD 1 DIST 1,769,426,217,,167,124,43,,21.72,29.11,19.82,
1298,WILKINS WARD 1 DIST 2,648,356,228,,188,139,49,,29.01,39.04,21.49,
1299,WILKINS WARD 1 DIST 3,796,472,227,,230,171,59,,28.89,36.23,25.99,
1300,WILKINS WARD 1 DIST 4,640,368,182,,177,137,40,,27.66,37.23,21.98,
1301,WILKINS WARD 1 DIST 5,439,287,95,,116,97,19,,26.42,33.80,20.00,
1302,WILKINS WARD 2 DIST 1,627,359,192,,189,141,48,,30.14,39.28,25.00,
1303,WILKINS WARD 2 DIST 2,910,599,193,,256,201,55,,28.13,33.56,28.50,
1304,WILKINSBURG WARD 1 DIST 1,1007,886,34,,178,173,5,,17.68,19.53,14.71,
1305,WILKINSBURG WARD 1 DIST 2,754,655,28,,89,89,0,,11.80,13.59,0.00,
1306,WILKINSBURG WARD 1 DIST 3,486,423,15,,58,58,0,,11.93,13.71,0.00,
1307,WILKINSBURG WARD 1 DIST 4,597,475,48,,146,133,13,,24.46,28.00,27.08,
1308,WILKINSBURG WARD 1 DIST 5,534,381,83,,138,121,17,,25.84,31.76,20.48,
1309,WILKINSBURG WARD 1 DIST 6,1006,842,59,,132,127,5,,13.12,15.08,8.47,
1310,WILKINSBURG WARD 2 DIST 1,835,652,67,,116,109,7,,13.89,16.72,10.45,
1311,WILKINSBURG WARD 2 DIST 2,965,758,122,,233,193,40,,24.15,25.46,32.79,
1312,WILKINSBURG WARD 2 DIST 3,842,695,49,,92,88,4,,10.93,12.66,8.16,
1313,WILKINSBURG WARD 2 DIST 4,510,420,19,,54,51,3,,10.59,12.14,15.79,
1314,WILKINSBURG WARD 2 DIST 5,768,638,27,,129,125,4,,16.80,19.59,14.81,
1315,WILKINSBURG WARD 3 DIST 1,754,516,106,,220,203,17,,29.18,39.34,16.04,
1316,WILKINSBURG WARD 3 DIST 2,666,485,73,,172,151,21,,25.83,31.13,28.77,
1317,WILKINSBURG WARD 3 DIST 3,819,696,34,,97,96,1,,11.84,13.79,2.94,
1318,WILKINSBURG WARD 3 DIST 4,1029,777,90,,186,177,9,,18.08,22.78,10.00,
1319,WILKINSBURG WARD 3 DIST 5,1062,861,47,,154,149,5,,14.50,17.31,10.64,
1320,WILKINSBURG WARD 3 DIST 6,535,444,40,,52,48,4,,9.72,10.81,10.00,
1321,WILMERDING DIST 1,527,391,68,,41,32,9,,7.78,8.18,13.24,
1322,WILMERDING DIST 2,732,501,122,,87,73,14,,11.89,14.57,11.48,
